"","Station type","Fragment","Film","Line","Nurdle","Sphere","Foam","Paint","n"
"1","Basin",0.469395098070017,0.0867750156518019,0.0839728473398041,0.0241246629081789,0.0218366343392927,0.0316521461189646,0.28224359561466,7
"2","Non urban",0.581532744371514,0.126099408896769,0.0870268336589069,0.0298347409141719,0.0827495306306746,0.017734443347484,0.0750222981249837,15
"3","Urban",0.671540256503281,0.0108047963343661,0.0328570599816294,0.0852412534007322,0.00938309937544953,0.184706244997321,0.00546728940359243,6
"4","River plume",0.524458429880305,0.0244556498045424,0.0101750058716232,0.240402155451279,0.00842438043726699,0.180849979741369,0.0112343986761179,5
"5","WWTP",0.63760684565071,0.0506778751621961,0.0246224676494389,0.0885197864781177,0.0327290714712646,0.146580476169605,0.0192634773330421,5
