"","Size (µm)","Fragment","Film","Line","Nurdle","Sphere","Foam","Paint","n"
"1","106-1000",1,NA,NA,NA,NA,NA,NA,28
"2","1000-4750",0.597080470920456,0.0498857689257769,0.0344212717821788,0.11612787916094,0.0299804922986608,0.137889666129843,0.0346144507006997,108
"3",">4750",0.573464590632534,0.251173634919874,0.0480714331373914,0.0053606563646165,0,0.121929684937654,0,108
