"","Station type","Fragment","Film","Line","Nurdle","Sphere","Foam","Paint","Total Plastic","Fiber","n"
"1","Basin",3662.6616774381,677.100220461905,655.235069904762,188.243291585714,170.38994247619,246.979789680952,2202.32977636667,7802.93976758095,503.541451261905,7
"2","Non urban",6729.78016927778,1459.28377991556,1007.11690789778,345.262153684444,957.617873877778,205.231616462222,868.194575562222,11572.48707732,3772.03656078222,15
"3","Urban",25705.7245644444,413.594145483333,1257.72733012778,3262.92900571111,359.173356727778,7070.32499281111,209.281028444444,38278.7544238889,2428.46265000556,6
"4","River plume",31811.6419318333,1483.38615697333,617.176929573333,14581.8750412733,510.990688106667,10969.6678919333,681.435644166667,60656.1742922,509.737912833333,5
"5","WWTP",57362.2544692333,4559.23143053333,2215.15854888,7963.6762876,2944.46858449333,13187.10210158,1733.03736664333,89964.9287966667,1367.02581584,5
