"","Size (µm)","Fragment","Film","Line","Nurdle","Sphere","Foam","Paint","n"
"1","106-1000",1,NA,NA,NA,NA,NA,NA,20
"2","1000-4750",0.600080601895345,0.0489878616697484,0.0341882094367439,0.114618975320228,0.0288932624587965,0.138740780565367,0.0344903085808144,38
"3",">4750",0.574817037419649,0.24863949653993,0.0470875188794009,0.00647271911746375,0,0.122983228036047,0,38
