"","Station type","Fragment","Film","Line","Nurdle","Sphere","Foam","Paint","n"
"1","Basin",0.469395098070017,0.0839728473398041,0.0867750156518019,0.0316521461189647,0.0241246629081789,0.0218366343392927,0.28224359561466,21
"2","Non urban",0.581532744371514,0.087026833658907,0.126099408896769,0.017734443347484,0.0298347409141719,0.0827495306306746,0.0750222981249837,45
"3","Urban",0.657815238158125,0.0313253094801001,0.0124557629046547,0.197072783522258,0.0852925156710475,0.00973570219189459,0.006302688031766,17
"4","River plume",0.531361537669612,0.0103879753507749,0.022882529001867,0.178777001582473,0.241415908078386,0.00860070818946065,0.00657433998559407,11
"5","WWTP",0.636346028296374,0.0250456980637709,0.0504237414582869,0.144143883313222,0.0907010165158323,0.0338145942872918,0.0195250379801625,14
