"","Size (µm)","Fragment","Film","Line","Nurdle","Sphere","Foam","Paint","Total Plastic","Fiber","n"
"1","106-1000",403378.125682388,NA,NA,NA,NA,NA,NA,403378.125682388,67439.6860820115,28
"2","1000-4750",42994.9552847413,3195.03329912044,2040.4429410202,19499.5801256816,3343.17857642818,12952.6040696065,2475.37754285544,73576.3172297698,8516.78330903977,108
"3",">4750",8500.29774274204,2883.34233929841,459.667370669168,137.669688907405,0,1865.22663381319,0,12766.2909180696,91.7768941334469,108
