"","Station type","Fragment","Film","Line","Nurdle","Sphere","Foam","Paint","Total plastic","Fiber","n"
"1","Basin",3572.37691525331,1318.25492315424,950.585993692405,754.126050461669,399.71878432023,780.824809056314,4531.75361957962,7636.32809647676,1165.23418215766,21
"2","Non urban",14405.307948959,2205.70917958982,3313.91837044435,1237.21843208424,1567.93484974079,3639.08068733548,1706.07073768099,20357.920476119,12045.5638615175,45
"3","Urban",38007.5617573582,2254.41770370443,1210.5358476342,10821.3518573821,5037.2180721359,929.985967599677,421.902832677287,50951.8819127664,8192.09024378244,17
"4","River plume",91708.6797763526,1648.29054518067,3565.64896863304,27075.8967865336,58649.5468678039,1053.27799874171,673.082396106621,177305.362388387,757.164198618957,11
"5","WWTP",55481.75214657,2174.95579019124,4498.34634102307,19885.6993059537,12128.6221704977,6128.94180697212,2104.91503769844,84880.6670972276,2151.20362651909,14
