"","Station type","Fragment","Film","Line","Nurdle","Sphere","Foam","Paint","Total plastic","Fiber","n"
"1","Basin"," 3663 +/-   2964","  677 +/-    721","  655 +/-    928","  188 +/-    271","  170 +/-    451","  247 +/-    539"," 2202 +/-   2715"," 7803 +/-   5496","  504 +/-    939",7
"2","Non urban"," 6730 +/-  11718"," 1459 +/-   1692"," 1007 +/-   1537","  345 +/-   1101","  958 +/-   2086","  205 +/-    710","  868 +/-   1016","11572 +/-  16174"," 3772 +/-   9555",15
"3","Urban","25706 +/-  28899","  414 +/-    861"," 1258 +/-   1657"," 3263 +/-   3781","  359 +/-    620"," 7070 +/-   7314","  209 +/-    171","38279 +/-  38074"," 2428 +/-   5415",6
"4","River plume","31812 +/-  64743"," 1483 +/-   2154","  617 +/-   1224","14582 +/-  29181","  511 +/-    703","10970 +/-  14834","  681 +/-    748","60656 +/- 111573","  510 +/-    579",5
"5","WWTP","57362 +/-  39329"," 4559 +/-   2954"," 2215 +/-   1260"," 7964 +/-   9936"," 2944 +/-   3960","13187 +/-  15482"," 1733 +/-   1725","89965 +/-  71377"," 1367 +/-    862",5
