"","Station type","Fragment","Film","Line","Nurdle","Sphere","Foam","Paint","Total plastic","Fiber","n"
"1","Basin",2963.99247239354,720.671978443727,927.740212650082,270.504722233042,450.809413698601,538.571522931991,2714.88334230914,5495.73665752435,939.43209794142,7
"2","Non urban",11718.0296860239,1691.90182166881,1536.94526147149,1101.21372267487,2086.00143461184,710.244839668276,1016.01581259478,16173.5346342775,9555.35388523505,15
"3","Urban",28898.8942375842,861.437609133805,1657.15210369997,3781.23940825989,619.705216960609,7313.52377937505,171.117839736806,38074.096796137,5415.04015723706,6
"4","River plume",64742.5024287388,2154.28903821513,1224.12661449221,29181.4946740755,702.705644897306,14833.8547751745,747.522895886509,111572.591174948,579.481339233851,5
"5","WWTP",39328.7176126569,2953.53535778751,1260.16495431327,9935.65565959755,3960.47498277804,15481.9091540219,1724.78834142269,71377.47490335,861.680344757365,5
