"","Size (µm)","Fragment","Film","Line","Nurdle","Sphere","Foam","Paint","Total Plastic","Fiber","n"
"1","106-1000",436352.265803127,NA,NA,NA,NA,NA,NA,436352.265803127,43773.6529855835,20
"2","1000-4750",33473.4300322246,2072.07833852251,1408.03183123805,11424.4707511845,2052.9897950989,9218.7836815926,1558.83332631814,55205.6281222421,6387.83840619218,38
"3",">4750",6618.19220056514,2514.28886901071,283.654718849676,95.1497321048345,0,1297.08677394913,0,10220.6970822423,51.5741621258529,38
