"","Station type","Fragment","Film","Line","Nurdle","Sphere","Foam","Paint","Total Plastic","Fiber","n"
"1","Basin",3662.6616774381,655.235069904762,677.100220461905,246.979789680952,188.243291585714,170.38994247619,2202.32977636667,7802.93976758095,503.541451261905,21
"2","Non urban",6729.78016927778,1007.11690789778,1459.28377991556,205.231616462222,345.262153684444,957.617873877778,868.194575562222,11572.48707732,3772.03656078222,45
"3","Urban",23127.6530205882,1101.34403460588,437.923212864706,6928.74030991765,2998.73823722353,342.290553858824,221.591677176471,35158.2810476471,2571.31339412353,17
"4","River plume",43049.4356002727,841.604903963636,1853.87892950909,14484.0160057273,19558.8461921455,696.805483781818,532.634761381818,81017.2218882727,586.601368563636,11
"5","WWTP",59368.9414082143,2336.67928258571,4704.36526528571,13448.1388776571,8462.09938578571,3154.7877691,1821.62028879286,93296.6322853571,1394.25959461429,14
