"trawl","station","106-1000","1000-4750",">4750","total_concentration","trawl_date","water_body","location","station_class","lon_start","lat_start","lon_end","lat_end","time_start","time_end","vessel_speed_start_knts","vessel_speed_end_knts","flowm_read_start","flowm_read_end","flowm_dist_m","flowm_area_km2","team","sea_state","wet_mass","dry_mass","air_vel_avg_kt","cloud_cover_avg","air_temp_avg_C","water_temp_avg_C","E_wtr_vel_surf_avg_kt","N_wtr_vel_surf_avg_kt","wv_drctn_avg","wv_prd_avg","sig_wv_ht_avg_m"
"NK 0009-3","NK 0009",554939.4539,115911.5831,1025.766222,671876.803222,"27-May-14","Lake Erie","Detroit Rv. Plume into Erie","River plume","-83.130824","41.970198","-83.135368","41.984507","13:42","14:02",1.9,2.4,"605759","665230",1598.165781,0.000974881,"Greg, Sarah, Rachel","0",110.36,26.11,9.08962,0.52342,18.97242222,18.14719445,0.07796,-0.19986,48.22432,1.43638,0.111414899
"NK 0011-3","NK 0011",118786.8622,11637.42093,6266.303579,136690.586709,"3-Jun-14","Lake Erie","Cuyahoga Rv. Plume","River plume","-81.716627","41.511150","-81.711143","41.502748","18:28","18:50",2.7,3.3,"079959","148105",1831.289289,0.001117086,"Lauren, Rachel, Melissa","1",158.47,29.34,11.55874667,0.029653333,18.08385555,16.62135185,0.159773333,0.091693333,112.17224,2.405966667,0.331906852
"NK 0014-3","NK 0014",260027.8817,13894.61963,0,273922.50133,"12-Jun-14","Lake Erie","Middle of Central Basin","Basin","-81.135925","42.284145","-81.137856","42.298660","09:48","10:08",2.6,2.4,"311758","373224",1651.77747,0.001007584,"Emma, Greg, Rachel","2",49.19,3.15,9.81426,0.925,18.40635556,18.17517777,0.20524,0.00598,351.08296,3.20318,0.532583516
"NK 0016-1","NK 0016",1226125.766,19083.67356,2385.459195,1247594.898755,"17-Jun-14","Lake Erie","Eastern Basin deepest point","Basin","-79.889000","42.510000","-79.895000","42.479000","11:29","11:50",2.3,2.2,"635612","686758",1374.447832,0.000838413,"Caitlin, Greg, Rachel","1-2",16.98,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NK 0017-1","NK 0017",711929.6317,38482.68279,13743.81528,764156.12977,"18-Jun-14","Lake Erie","Erie, PA WWTP","WWTP","-80.062000","42.153000","-80.046000","42.165000","07:45","08:07",2.5,3,"945907","968100",596.3930854,0.0003638,"Caitlin, Greg, Rachel","0",105.56,5.94,8.95425,0.278475,19.16902778,18.54670833,0.0535,-0.041925,132.583,1.4473,0.126173494
"NK 0017-2","NK 0017",274118.8979,242428.8519,9507.013799,526054.763599,"18-Jun-14","Lake Erie","Erie, PA WWTP","WWTP","-80.047000","42.164000","-80.054000","42.157000","08:17","08:38",2.3,2.2,"968098","006598",1034.611535,0.000631113,"Caitlin, Greg, Rachel","1",496.17,104.64,11.94765167,0.771883333,18.69091852,18.99398148,0.017126667,0.028326667,261.9036383,0.711006667,0.054051349
"NK 0017-3","NK 0017",502822.7774,77165.84596,0,579988.62336,"18-Jun-14","Lake Erie","Erie, PA WWTP","WWTP","-80.059000","42.154000","-80.040000","42.163000","08:50","09:13",2.3,3,"006594","031101",658.5772696,0.000401732,"Caitlin, Greg, Rachel","1",112.65,7.76,9.59755,0.76295,18.88720371,18.52237963,0.040666667,-0.033066667,149.9303667,1.327583333,0.112274445
"NK 0019-1","NK 0019",559671.7779,47158.3533,7118.242008,613948.373208,"25-Jun-14","Lake Erie","Buffalo WWTP","WWTP","-78.867958","42.788887","-78.873474","42.775126","16:34","16:55",2.4,2.8,"851699","920259",1842.414722,0.001123873,"Kat, Greg, Rachel","1",117.08,8.95,9.95201,0.866033333,21.2268963,20.54642037,-0.025346667,-0.04758,199.2684533,1.262296667,0.10689974
"NK 0020-3","NK 0020",289119.1172,8785.387539,0,297904.504739,"26-Jun-14","Niagara Rv.","Headwaters Niagara Rv.","Urban","-78.909225","42.920242","-78.905330","42.919300","09:11","09:33",1.3,0.2,"324051","400432",2052.588666,0.001252079,"Steve, Melissa F., Kat, Greg, Rachel","0",132.95,7.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NK 0022-3","NK 0022",273046.4843,28070.19932,850.6121005,301967.2957205,"28-Jun-14","Lake Erie","Base of Long Point","Non urban","-80.475040","42.562897","-80.496513","42.565754","11:22","11:42",2.5,2.8,"997332","069049",1927.252868,0.001175624,"Steve, Melissa F., Greg","1",308.93,16.36,5.348693333,0.374763333,24.01304629,21.91807222,0.049136667,0.027823333,333.48259,2.771133333,0.321137121
"NK 0024-3","NK 0024",504338.0621,1027.165096,0,505365.227196,"29-Jun-14","Lake Erie","Port Glasgow","Non urban","-81.483200","42.472771","-81.495811","42.463779","11:38","11:58",2.8,2.1,"416956","476346",1595.989066,0.000973553,"Steve, Melissa F., Greg","2",63.64,2.11,11.26735667,0.714606667,23.02780926,22.05205185,0.060863333,-0.11241,335.1352,3.055833333,0.485122531
"US 0003-3","US 0003",433752.027,252872.0324,48594.62543,735218.68483,"19-Jun-14","Lake Erie","Cleveland Easterly WWTP","WWTP","-81.593922","41.571805","-81.593487","41.571828","09:38","09:59",2.6,2.7,"194389","262178",1821.695619,0.001111234,"Kat, Greg, Rachel, Melissa D.","2",440.62,75.78,56.70505333,0.997073333,19.41386482,20.3957574,-0.082756667,-0.058143333,209.20067,2.506523333,0.383036658
"US 0006-1","US 0006",239700.7664,7140.02283,0,246840.78923,"30-Jul-14","Lake Superior","Middle of Keweenaw Bay","Basin","-87.995367","47.114433","-87.986983","47.130100","14:21","14:43",3,3,"438505","498312",1607.195118,0.000980389,"Greg, Rachel","1",61.59,3.29,8.84886,0.470745,13.24879722,12.81350278,0.03072,-0.174245,104.95748,1.663605,0.151885211
