"","station","size_fraction_um","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","StDev.","IQR","Range","MNR","CoV"
"85","US 0002","1000-4750",15920,30170,44420,53870,72840,101300,43452,42674,85380,1.585,0.807
"86","US 0002",">4750",2810,3447,4084,5319,6574,9065,3305,3127,6255,1.176,0.621
"87","US 0003","106-1000",433800,433800,433800,433800,433800,433800,NA,0,0,0,NA
"88","US 0003","1000-4750",144600,176700,208900,202100,230900,252900,54450,54135,108300,0.536,0.269
"89","US 0003",">4750",22830,35710,48590,61320,80570,112500,46191,44857,89670,1.462,0.753
"90","US 0004","1000-4750",30150,60740,91330,91330,121900,152500,86510,61172,122350,1.34,0.947
"91","US 0004",">4750",4112,5023,5933,5933,6844,7754,2575,1821,3642,0.614,0.434
"92","US 0005","1000-4750",1157,3344,5532,5196,7216,8899,3882,3871,7742,1.49,0.747
"93","US 0005",">4750",0,0,0,385.6,578.4,1157,668,578,1157,3.001,1.732
"94","US 0006","106-1000",239700,239700,239700,239700,239700,239700,NA,0,0,0,NA
"95","US 0006","1000-4750",2083,2104,2126,3783,4633,7140,2908,2529,5057,1.337,0.769
"96","US 0006",">4750",0,0,0,354.3,531.4,1063,614,531,1063,3,1.733
