"","Size (µm)","Fragment","Film","Line","Nurdle","Sphere","Foam","Paint","Total plastic","Fiber","n"
"1","106-1000",495731.401186667,NA,NA,NA,NA,NA,NA,495731.401186667,58664.5390880833,20
"2","1000-4750",19123.3990440325,1561.14765927368,1089.51159160088,3652.68331644737,920.771952864912,4421.39822892456,1099.13890243991,31868.0506979088,2212.10350299912,38
"3",">4750",1947.2997721443,842.312602861842,159.517740107895,21.9275415342105,0,416.628590215789,0,3387.68624688947,8.36643387368421,38
