"","Size (µm)","Fragment","Film","Line","Nurdle","Sphere","Foam","Paint","Total Plastic","Fiber","n"
"1","106-1000",465606.00035,NA,NA,NA,NA,NA,NA,465606.00035,68784.630425,28
"2","1000-4750",19237.3618102935,1607.27177114074,1109.02046121759,3741.52921839352,965.942792787963,4442.67318465648,1115.24450124352,32219.0437423574,2314.82030361667,108
"3",">4750",2008.6747548,879.786036969444,168.379836780556,18.776774162963,0,427.083178274074,0,3502.70058101481,8.83123575555556,108
